"","ADDRESSS","name","lat","long","accuracy","format_address"
"2347","123 WEST   44 STREET 10036","CAFE UN DEUX TROIS",40.7567949,40.7567949,"street_address","123 W 44th St, New York, NY 10036, USA"
"2348","123 WEST   45 STREET 10036","THE PERFECT PINT",40.7574076,40.7574076,"street_address","123 W 45th St, New York, NY 10036, USA"
"2349","123 WEST   57 STREET 10019","SALISBURY HOTEL",40.7651006,40.7651006,"premise","123 W 57th St, New York, NY 10019, USA"
"2350","123 WESTCHESTER SQ 10461","NY BRONX BRICK OVEN PIZZA",40.8407221,40.8407221,"street_address","123 Westchester Square, Bronx, NY 10461, USA"
"2351","123 WILLIAM ST 10038","BENTON CAFE",40.7093249,40.7093249,"premise","123 William St, New York, NY 10038, USA"
"2352","123 WYCKOFF AVE 11237","SUN AZTECA",40.7043206,40.7043206,"premise","123 Wyckoff Ave, Brooklyn, NY 11237, USA"
"2353","1230 5TH AVE 10029","SIDE PARK CAFE",40.7931183,40.7931183,"premise","1230 5th Ave, New York, NY 10029, USA"
"2354","1230 6 AVENUE 10020","THE EAGLE CAFE",40.7625399,40.7625399,"street_address","1230 6 1/2 Ave Pedestrian Arcade, New York, NY 10019, USA"
"2355","1230 CASTLE HILL AVE 10462","EMPIRE WOK CHINESE RESTAURANT",40.8327846,40.8327846,"premise","1230 Castle Hill Ave, Bronx, NY 10462, USA"
"2356","12301 ROOSEVELT AVENUE 11368","NEW YORK METS HOME CLUBHOUSE",40.7570176,40.7570176,"premise","123-01 Roosevelt Ave, Corona, NY 11368, USA"
