"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"146","243 WEST   42 STREET 10036","CHEVYS FRESH MEX",40.7568759,-73.988915,"street_address","243 W 42nd St, New York, NY 10036, USA"
"147","243 WEST   47 STREET 10036","ETHEL BARRYMORE THEATER",40.7601064,-73.9861494,"premise","243 W 47th St, New York, NY 10036, USA"
"148","243 WEST   54 STREET 10019","CHARACTERS NYC BAR & GRILL",40.764522,-73.9832757,"street_address","243 W 54th St, New York, NY 10019, USA"
"149","24303 MERRICK BOULEVARD 11422","USA DINER",40.6743819,-73.7298204,"premise","243-03 Merrick Blvd, Jamaica, NY 11422, USA"
"150","24304 MERRICK BLVD 11422","ROSEDALE DELICATESSEN",40.6738513,-73.7305125,"street_address","243-04 Merrick Blvd, Rosedale, NY 11422, USA"
"151","2431 JEROME AVENUE 10468","DIAMANTE POBLANO RESTAURANT",40.8621607,-73.9018883,"premise","2431 Jerome Ave, Bronx, NY 10468, USA"
"152","24310 MERRICK BLVD 11422","ISLAND TASTE",40.6738847,-73.7302447,"street_address","243-10 Merrick Blvd, Rosedale, NY 11422, USA"
"153","2432 E TREMONT AVE 10461","PEKING HOUSE",40.8423862,-73.8520213,"street_address","2432 E Tremont Ave, Bronx, NY 10461, USA"
"154","2432 GRAND CONCOURSE 10458","SUBWAY",40.860521,-73.8975967,"street_address","2432 Grand Concourse, Bronx, NY 10458, USA"
"155","2434 STILLWELL AVE 11223","H & Y BAKERY",40.58797,-73.983974,"street_address","2434 Stillwell Ave, Brooklyn, NY 11223, USA"
"156","2435 86TH ST 11214","BENSON EATING STATION",40.598897,-73.988199,"street_address","2435 86th St, Brooklyn, NY 11214, USA"
"157","2436 NOSTRAND AVE 11210","CANTEEN",40.625285,-73.946942,"street_address","2436 Nostrand Ave, Brooklyn, NY 11210, USA"
"158","2438 EASTCHESTER ROAD 10469","C & C DELI COFFEE SHOP & DELI",40.8621913,-73.8430846,"street_address","2438 Eastchester Rd, Bronx, NY 10469, USA"
"159","2438 JEROME AVE 10468","SUBWAY",40.862218,-73.9010974,"street_address","2438 Jerome Ave, Bronx, NY 10468, USA"
"160","2438 STILLWELL AVENUE 11223","JOHN'S DELI",40.5878885,-73.9839082,"street_address","2438 Stillwell Ave, Brooklyn, NY 11223, USA"
"161","2439 STEINWAY ST 11103","HOME MADE BAKLAWA",40.7680135,-73.9113752,"street_address","24-39 Steinway St, Astoria, NY 11103, USA"
"162","2439 STEINWAY STREET 11103","LITTLE MOROCCO RESTAURANT",40.7680135,-73.9113752,"street_address","24-39 Steinway St, Astoria, NY 11103, USA"
"163","244 3 AVENUE 10010","BARFLY",40.7371804,-73.9847137,"street_address","244 3rd Ave, New York, NY 10010, USA"
"164","244 7TH AVE 11215","BOBO'S SMOOTHIES",40.6695511,-73.9793988,"street_address","244 7th Ave, Brooklyn, NY 11215, USA"
"165","244 E 13TH ST 10003","ZABB CITY",40.7317909,-73.9860978,"street_address","244 E 13th St, New York, NY 10003, USA"
"166","244 E 51ST ST 10022","KARIZMA LOUNGE",40.7556061,-73.9688182,"premise","244 E 51st St, New York, NY 10022, USA"
"167","244 EAST   53 STREET 10022","T & G WHITNEY'S",40.75682,-73.967893,"street_address","244 E 53rd St, New York, NY 10022, USA"
"168","244 EAST 46 STREET 10017","RISTORANTE GRIFONE",40.7524063,-73.970995,"premise","244 E 46th St, New York, NY 10017, USA"
"169","244 EAST HOUSTON STREET 10002","OPEN HOUSE",40.7223511,-73.985606,"street_address","244 E Houston St, New York, NY 10002, USA"
"170","244 FLATBUSH AVENUE 11217","TARO SUSHI",40.6796443,-73.9745773,"street_address","244 Flatbush Ave, Brooklyn, NY 11217, USA"
"171","244 GRAND STREET 11211","CARIBBEAN SPORTS",40.7134713,-73.9590311,"street_address","244 Grand St, Brooklyn, NY 11211, USA"
"172","244 MADISON AVE 10016","DUNKIN' DONUTS",40.7502162,-73.9814975,"premise","244 Madison Ave, New York, NY 10016, USA"
"173","244 MADISON AVENUE 10016","MOONSTRUCK",40.7502162,-73.9814975,"premise","244 Madison Ave, New York, NY 10016, USA"
"174","244 MULBERRY STREET 10012","THE GREY DOG MULBERRY",40.7229542,-73.9956958,"premise","244 Mulberry St, New York, NY 10012, USA"
"175","244 UTICA AVENUE 11213","TOTA'S",40.6701914,-73.9312384,"premise","244 Utica Ave, Brooklyn, NY 11213, USA"
